source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%),Value_mar,Value_mnar
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2025,ANNUAL,00,00,YEAR,NA,2026-01-12T12:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,00,00,YEAR,NA,2025-01-10T12:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,00,00,YEAR,NA,2024-09-30T12:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2022,ANNUAL,00,00,YEAR,NA,2024-01-09T15:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2021,ANNUAL,00,00,YEAR,NA,2024-01-09T15:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2020,ANNUAL,00,00,YEAR,NA,2024-01-09T15:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2019,ANNUAL,00,00,YEAR,NA,2024-01-09T15:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2018,ANNUAL,00,00,YEAR,NA,2024-01-09T15:00:00Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2017,ANNUAL,00,00,YEAR,NA,2018-01-12T12:02:42Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2016,ANNUAL,00,00,YEAR,NA,2018-01-12T12:02:42Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,NA,98,OT,OTHER STATES,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,OTHER STATES,2015,ANNUAL,00,00,YEAR,NA,2016-01-12T13:18:01Z,0,NA,0,0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,NA,NA,NA,NA,NA,NA,NA,00000000,NA,NA,9000,UNITED STATES,ALABAMA,2025,ANNUAL,00,00,YEAR,NA,2026-01-12T12:00:00Z,152,NA,152,152
